Ref_;Prec_;;;
'104.007.0022;479,7;;;
'104.007.0023;356,7;;;
'104.007.0024;307,5;;;
'104.007.0025;470,475;;;
'104.008.0001;2447,7;;;
'104.008.0002;2816,7;;;
'104.008.0003;2201,7;;;
'104.009.0001;3554,7;;;
'104.011.0001;4046,7;;;
'104.014.0001;233,7;;;
'104.014.0002;258,3;;;
'104.014.0003;258,3;;;
'104.014.0004;516,6;;;
'104.014.0005;270,6;;;
'104.015.0001;;;;
'104.015.0002;;;;
'104.015.0003;;;;
'104.015.0004;;;;
'104.015.0005;;;;
'104.015.0006;;;;
'104.015.0007;;;;
'104.015.0008;;;;
'104.015.0009;;;;
'104.015.0010;;;;
'104.015.0012;45,264;;;
'104.015.0013;49,692;;;
'104.015.0014;78,105;;;
'104.015.0015;78,105;;;
'104.015.0016;78,72;;;
'104.019.0001;9827,7;;;
'104.019.0002;8597,7;;;
'104.019.0003;11057,7;;;
'104.019.0004;9827,7;;;
'104.019.0005;430,5;;;
'104.019.0006;307,5;;;
'104.019.0007;430,5;;;
'104.019.0008;602,7;;;
'104.019.0009;848,7;;;
'104.020.0001;725,7;;;
'104.020.0002;2324,7;;;
'104.020.0003;3677,7;;;
'104.020.0004;516,6;;;
'104.021.0001;307,5;;;
'104.027.0001;270,6;;;
'104.027.0002;602,7;;;
'104.031.0001;;;;
'104.031.0002;1340,7;;;
'104.032.0001;3554,7;;;
'104.034.0001;;;;
'104.034.0002;;;;
'104.034.0003;602,7;;;
'104.034.0004;479,7;;;
'104.034.0005;;;;
'104.034.0006;;;;
'104.034.0007;;;;
'104.034.0008;;;;
'104.035.0001;29015,7;;;
'104.035.0002;19913,7;;;
'104.035.0003;6875,7;;;
'104.046.0001;1094,7;;;
'104.056.0001;3677,7;;;
'105.007.0033;307,5;;;
'105.007.0035;;;;
'105.007.0036;233,7;;;
'105.007.0055;24,6;;;
'105.007.0056;24,6;;;
'105.007.0057;24,6;;;
'105.007.0058;24,6;;;
'105.007.0059;24,6;;;
'105.007.0060;24,6;;;
'105.007.0061;;;;
'105.007.0062;;;;
'105.007.0063;18,45;;;
'105.036.0037;26,8017;;;
'105.041.0013;52,89;;;
'105.042.0011;16,605;;;
'105.042.0013;22,14;;;
'105.045.0010;;;;
'105.047.0001;725,7;;;
'105.047.0002;436,65;;;
'105.047.0003;399,75;;;
'105.047.0004;276,75;;;
'105.047.0005;190,65;;;
'105.047.0006;393,6;;;
'105.047.0007;393,6;;;
'105.047.0008;393,6;;;
'105.047.0009;436,65;;;
'105.047.0010;436,65;;;
'105.047.0011;436,65;;;
'105.047.0012;473,55;;;
'105.047.0013;473,55;;;
'105.047.0014;473,55;;;
'105.047.0015;369;;;
'105.047.0016;971,7;;;
'105.050.0059;;;;
'106.002.0001;86,1;;;
'106.003.0001;61,5;;;
'106.003.0002;123;;;
'106.007.0001;61,5;;;
'106.007.0002;61,5;;;
'106.007.0003;;;;
'106.007.0004;159,9;;;
'106.007.0005;159,9;;;
'106.007.0006;98,4;;;
'107.001.0001;10565,7;;;
'107.001.0002;17207,7;;;
'107.001.0003;5276,7;;;
'107.001.0004;4046,7;;;
'107.001.0005;8105,7;;;
'107.001.0006;7367,7;;;
'107.001.0007;6506,7;;;
'107.001.0008;11180,7;;;
'107.001.0009;13148,7;;;
'107.001.0010;11672,7;;;
'107.001.0011;18437,7;;;
'107.001.0012;20282,7;;;
'107.001.0013;15977,7;;;
'107.001.0014;13886,7;;;
'107.001.0015;12287,7;;;
'107.001.0016;2816,7;;;
'107.001.0017;2447,7;;;
'107.001.0018;2078,7;;;
'107.001.0019;2447,7;;;
'107.001.0020;3800,7;;;
'107.001.0021;3554,7;;;
'107.001.0022;676,5;;;
'208.003.0001;;;;
'208.003.0002;86,1;;;
'208.003.0003;307,5;;;
'208.003.0004;393,6;;;
'208.003.0005;307,5;;;
'208.003.0006;1217,7;;;
'208.003.0007;1832,7;;;
'208.003.0008;135,3;;;
'208.003.0009;356,7;;;
'208.003.0010;43,05;;;
'208.003.0011;971,7;;;
'208.003.0012;725,7;;;
'208.003.0013;1414,5;;;
'208.003.0014;516,6;;;
'208.003.0015;4538,7;;;
'208.003.0016;479,7;;;
'208.003.0017;1463,7;;;
'208.003.0018;184,5;;;
'208.003.0019;5522,7;;;
'208.003.0020;1414,5;;;
'208.003.0021;184,5;;;
'208.003.0022;147,6;;;
'208.003.0023;430,5;;;
'208.003.0024;110,7;;;
'208.003.0025;1094,7;;;
'208.003.0026;971,7;;;
'208.003.0027;356,7;;;
'208.003.0028;282,9;;;
'208.003.0029;676,5;;;
'208.003.0030;1340,7;;;
'208.003.0031;1340,7;;;
'208.003.0032;8105,7;;;
'208.003.0033;1168,5;;;
'208.003.0034;;;;
'208.003.0035;848,7;;;
'208.003.0036;922,5;;;
'208.003.0037;1463,7;;;
'208.003.0038;479,7;;;
'208.003.0039;;;;
'208.003.0040;553,5;;;
'208.003.0041;4907,7;;;
'208.003.0042;553,5;;;
'208.003.0043;602,7;;;
'208.003.0044;4907,7;;;
'208.003.0045;6137,7;;;
'208.003.0046;1094,7;;;
'208.003.0047;602,7;;;
'208.003.0048;1217,7;;;
'208.003.0049;;;;
'208.007.0001;356,7;;;
'208.020.0001;393,6;;;
'208.020.0002;971,7;;;
'208.020.0003;934,8;;;
'312.001.0001;;;;
'313.001.0001;;;;
'314.001.0001;;;;
'314.001.0002;;;;
'315.001.0001;;;;
'DIV;;;;
'NOTA 1;;;;
'NOTA 2;;;;
'NOTA 3;;;;
'NOTA 4;;;;
'NOTA 5;;;;
'teste;;;;
'104.004.0008;0;;;
'104.004.0009;0;;;
'104.004.0010;0;;;
'104.004.0011;0;;;
'104.007.0036;;;;
'105.058.0002;;;;
'105.058.0003;;;;
'105.058.0004;;;;
'105.058.0005;;;;
'105.058.0006;;;;
'105.047.0017;;;;
'105.007.0064;;;;
'63.3825;;;;
'63.43189;;;;
'63.2830;;;;
'63.44362;;;;
'63.2631;;;;
'104.020.0005;;;;
'62-5-929;;;;
'62-A-016;;;;
'62-7-164;;;;
